新诗书目


说明

1．本书目收录1920—2016年出版的全国（包括港台地区）新诗作品，共分三部分。第一部分为个人专集，第二部分为合著，第三部分为多人合集。

2．收录的诗集以初版本为主，初版本一时查不到的，则收录再版本。

3．专集按作者姓氏笔画排列，笔画相同的以起笔﹝一﹞﹝丨﹞﹝ノ﹞﹝丶﹞﹝乛﹞为序。合著按第一作者姓氏笔画为序排列。合集以编者、出版单位名称笔画为序排列。同一诗人专集以出版日期先后为序。





专集

外文

河边恋歌 A·M 上海诗创造社1931年版
文晓村短诗选 文晓村 银河出版社2002年版

井岗山诗抄 文莽彦 作家出版社1958年版

井岗山颂 文莽彦 上海新文艺出版社1960年版

天仙配 方大伦 广西人民出版社1957年版

人的改造 方之中 天津新华书店1952年版

战斗的乡村 方冰 作家出版社1957年版

飞 方冰 春风文艺出版社1961年版

大海的心 方冰 春风文艺出版社1985年版

访苏诗文集 方纪 中国青年出版社1956年版

不尽长江滚滚来 方纪 长江文艺出版社1957年版

大江东去 方纪 作家出版社1958年版

朝阳 方艮 台湾青年诗联社1967年版

水乡 方艮 台湾大千文化出版社1968年版

杨和同志打虎记 方里 南方通俗出版社1951年版

玮德诗文集 方玮德 上海时代图书馆1936年版

受难者的短曲 方玮德 上海星群出版社1948年版

生之胜利 方玮德 上海文化生活出版社1948年版

时间 方思 台北中兴文学出版社1953年版

夜 方思 台北现代诗社1955年版

竖琴与长笛 方思 台北现代诗社1958年版

娥眉颂 方娥真 台北四季出版公司1977年版

平凡的夜话 方殷 上海商务印书馆1942年版

方殷诗选 方殷 人民文学出版社1984年版

膜拜 方莘 台湾现代文学社1963年版

雨景 方敬 上海文化生活出版社1942年版

声音 方敬 桂林文化工作社1942年版

受难者短曲 方敬 上海新群出版社1948年版

行吟的歌 方敬 上海文化生活出版社1948年版

拾穗集 方敬 四川人民出版社1981年版

花的种子 方敬 西南师范大学出版社1989年版

飞鸟的影子 方敬 重庆出版社1990年版

哀歌二三 方旗 1966年自刊

端午 方旗 1972年自刊

云雀叫了一整天 木心 广西师范大学出版社2009年版

醉心的微笑 木斧 四川人民出版社1983年版

缀满鲜花的诗篇 木斧 海峡文艺出版社1987年版

乡思乡情乡恋 木斧 四川民族出版社1990年版

我用那潸潸的笔 木斧 四川民族出版社1994年版

书信集 木斧 香港银河出版社1999年版

车到低谷 木斧 中国三峡出版社2003年版

晨风 木青 福建人民出版社1980年版

山乡集 毛正之 广西人民出版社1960年版

云帆集 毛锜 陕西人民出版社1983年版

两种力 毛翰哥 上海泰东图书公司1926年版

温泉 牛汉 上海文艺出版社1984年版

沉默的悬崖 牛汉 十月文艺出版社1986年版

牛汉抒情诗选 牛汉 青海人民出版社1989年版

牛汉诗选 牛汉 人民文学出版社1998年版

牛汉诗文补编 牛汉 作家出版社2000年版

牛汉短诗选 牛汉 香港银河出版社2001年版

空旷在远方——牛汉诗文精选 牛汉 时代文艺出版社2005年版

河——献给一个人 牛波 漓江出版社1988年版

牛波诗集 牛波 作家出版社1991年版

白河小英雄 牛雅杰 河南人民出版社1979年版

